"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"B001","DERMATITIS VESICULAR HERPETICA","F","3","16","5","01/01/2019-30/06/2019"
"C148","LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA LARINGE","F","1","10","10","01/01/2019-30/06/2019"
"C447","TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA","F","1","3","3","01/01/2019-30/06/2019"
"D352","TUMOR BENIGNO DE LA HIPOFISIS","F","1","30","30","01/01/2019-30/06/2019"
"D414","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA VEJIGA","F","1","8","8","01/01/2019-30/06/2019"
"D648","OTRAS ANEMIAS ESPECIFICADAS","F","1","2","2","01/01/2019-30/06/2019"
"E782","HIPERLIPIDEMIA MIXTA","F","1","1","1","01/01/2019-30/06/2019"
"E835","TRASTORNOS DEL METABOLISMO DEL CALCIO","F","1","7","7","01/01/2019-30/06/2019"
"F000","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0)","F","7","360","51","01/01/2019-30/06/2019"
"F449","TRASTORNO DISOCIATIVO [DE CONVERSION], NO ESPECIFICADO","F","1","1","1","01/01/2019-30/06/2019"
"H151","EPISCLERITIS","F","1","3","3","01/01/2019-30/06/2019"
"H46X","NEURITIS OPTICA","F","2","18","9","01/01/2019-30/06/2019"
"H728","OTRAS PERFORACIONES DE LA MEMBRANA TIMPANICA","F","1","1","1","01/01/2019-30/06/2019"
"I209","ANGINA DE PECHO, NO ESPECIFICADA","F","2","4","2","01/01/2019-30/06/2019"
"I698","SECUELAS DE OTRAS ENFERMEDADES CEREBROVASCULARES Y DE LAS NO ESPECIFICADAS","F","4","151","38","01/01/2019-30/06/2019"
"J410","BRONQUITIS CRONICA SIMPLE","F","1","5","5","01/01/2019-30/06/2019"
"K522","COLITIS Y GASTROENTERITIS ALERGICAS Y DIETETICAS","F","1","7","7","01/01/2019-30/06/2019"
"L551","QUEMADURA SOLAR SEGUNDO GRADO","F","1","10","10","01/01/2019-30/06/2019"
"L84X","CALLOS Y CALLOSIDADES","F","1","7","7","01/01/2019-30/06/2019"
"M878","OTRAS OSTEONECROSIS","F","2","60","30","01/01/2019-30/06/2019"
"M911","OSTEOCONDROSIS JUVENIL DE LA CABEZA DEL FEMUR [LEGG-CALVE-PERTHES]","F","1","1","1","01/01/2019-30/06/2019"
"M925","OSTEOCONDROSIS JUVENIL DE LA TIBIA Y DEL PERONE","F","3","285","95","01/01/2019-30/06/2019"
"M928","OTRAS OSTEOCONDROSIS JUVENILES ESPECIFICADAS","F","1","90","90","01/01/2019-30/06/2019"
"N308","OTRAS CISTITIS","F","1","1","1","01/01/2019-30/06/2019"
"N363","PROLAPSO DE LA MUCOSA URETRAL","F","1","5","5","01/01/2019-30/06/2019"
"N609","DISPLASIA MAMARIA BENIGNA, SIN OTRA ESPECIFICACION","F","1","5","5","01/01/2019-30/06/2019"
"N842","POLIPO DE LA VAGINA","F","1","30","30","01/01/2019-30/06/2019"
